DATE,FEDFUNDS,GDPPOT_GDPC1_GDPDEF_PC1
1981-01-01,16.5700000000000000,15.86558086698178602300
1981-04-01,17.7800000000000000,14.53135620319669455500
1981-07-01,17.5766666666666667,14.20086389955899858000
1981-10-01,13.5866666666666667,11.90925264753599011000
1982-01-01,14.2266666666666667,8.81392881736004731400
1982-04-01,14.5133333333333333,7.59316550224453322700
1982-07-01,11.0066666666666667,6.32942285062933372500
1982-10-01,9.2866666666666667,4.90322807045442393000
1983-01-01,8.6533333333333333,4.18050644762695266900
1983-04-01,8.8033333333333333,4.00262858777925124500
1983-07-01,9.4600000000000000,4.00998644878944770800
1983-10-01,9.4300000000000000,4.17516101496704539200
1984-01-01,9.6866666666666667,5.05554464246388470100
1984-04-01,10.5566666666666667,5.63425119701476422200
1984-07-01,11.3900000000000000,5.40302800431480392000
1984-10-01,9.2666666666666667,5.34897585094511529600
1985-01-01,8.4766666666666667,5.35012671753787390000
1985-04-01,7.9233333333333333,5.02294266839134175000
1985-07-01,7.9000000000000000,4.89979767767586915500
1985-10-01,8.1033333333333333,4.55199972674294628800
1986-01-01,7.8266666666666667,3.84380920067234047700
1986-04-01,6.9200000000000000,3.24837498528877330600
1986-07-01,6.2066666666666667,3.01823226334772625900
1986-10-01,6.2666666666666667,2.85579941740975475300
1987-01-01,6.2200000000000000,3.03314563375976506300
1987-04-01,6.6500000000000000,3.64970843926969626300
1987-07-01,6.8433333333333333,4.21434050820859942300
1987-10-01,6.9166666666666667,5.05670057530335493700
1988-01-01,6.6633333333333333,5.15630318164701577600
1988-04-01,7.1566666666666667,5.85276195824644400500
1988-07-01,7.9833333333333333,6.43949049632082884000
1988-10-01,8.4700000000000000,6.82571559995168988500
1989-01-01,9.4433333333333333,7.35965247046196799600
1989-04-01,9.7266666666666667,7.51091420715464882800
1989-07-01,9.0833333333333333,6.80001012610621784800
1989-10-01,8.6133333333333333,6.30534292092204788000
1990-01-01,8.2500000000000000,6.54985085960323403000
1990-04-01,8.2433333333333333,6.46939382933238642400
1990-07-01,8.1600000000000000,6.36322206470713508400
1990-10-01,7.7433333333333333,5.63864590718094082100
1991-01-01,6.4266666666666667,4.94604676978825465800
1991-04-01,5.8633333333333333,4.42495727009152282700
1991-07-01,5.6433333333333333,4.24996298686077501200
1991-10-01,4.8166666666666667,3.88585386142452290500
